Search Date,ASIN,Name,Price,Rating,Review Amount,Amazon Prime,Sale,Brand,Image,URL
2023-07-16,B07B7K7N3P,"Furmax Office Chair Mid Back Swivel Lumbar Support Desk Chair, Computer Ergonomic Mesh Chair with Armrest (Black)",42.99,4.2,"58,163",False,10K,,https://m.media-amazon.com/images/I/71ohGSWApfL._AC_UL320_.jpg,https://www.amazon.com/Furmax-Support-Computer-Ergonomic-Armrest/dp/B07B7K7N3P/ref=sr_1_1?keywords=chair&qid=1689531604&sr=8-1
2023-07-16,B00D4JYR62,"GCI Outdoor Freestyle Rocker Portable Rocking Chair & Outdoor Camping Chair, Indigo Blue",69.99,4.8,"16,542",True,10K,,https://m.media-amazon.com/images/I/81IsUQWDyFL._AC_UL320_.jpg,https://www.amazon.com/GCI-Outdoor-Freestyle-Portable-Folding/dp/B00D4JYR62/ref=sr_1_2?keywords=chair&qid=1689531604&sr=8-2
2023-07-16,B01MSISJKG,Medline Shower Chair Seat with Padded Armrests and Back Heavy Duty Shower Chair for Bathtub Slip Resistant Shower Seat with Adjustable Height Shower Chair for Inside Shower with 350 lb Capacity,41.93,4.7,"25,741",True,10K,,https://m.media-amazon.com/images/I/6164i9BJ9hL._AC_UL320_.jpg,https://www.amazon.com/Medline-Shower-Armrests-Bathtubs-Supports/dp/B01MSISJKG/ref=sr_1_3?keywords=chair&qid=1689531604&sr=8-3
2023-07-16,B000ASB66O,Marcy Adjustable Hyper Extension Bench,86.99,4.4,"2,884",True,700,,https://m.media-amazon.com/images/I/61aVT3jtWsL._AC_UL320_.jpg,https://www.amazon.com/Marcy-Adjustable-Hyperextension-Exercise-JD-3-1/dp/B000ASB66O/ref=sr_1_4?keywords=chair&qid=1689531604&sr=8-4
2023-07-16,B08NV3K3Z4,"Sunny Health & Fitness Hyperextension Roman Chair with Dip Station - SF-BH620062 , Black",149.99,4.5,497,True,400,,https://m.media-amazon.com/images/I/81dCVjl0SAL._AC_UL320_.jpg,https://www.amazon.com/Sunny-Health-Fitness-Hyperextension-Station/dp/B08NV3K3Z4/ref=sr_1_5?keywords=chair&qid=1689531604&sr=8-5
2023-07-16,1802791000,"Chairs: 1,000 Masterpieces of Modern Design, 1800 to the Present",33.44,3.0,2,True,,,https://m.media-amazon.com/images/I/61TPCZk8i8L._AC_UL320_.jpg,https://www.amazon.com/Chairs-Masterpieces-Modern-Design-Present/dp/1802791000/ref=sr_1_11?keywords=chair&qid=1689531604&sr=8-11
2023-07-16,B079HX7Q5L,Chairs: Historia de la silla (Spanish Edition),8.99,4.6,28,False,,,https://m.media-amazon.com/images/I/71zbHIqODPL._AC_UL320_.jpg,https://www.amazon.com/Chairs-Historia-Spanish-Anatxu-Zabalbeascoa-ebook/dp/B079HX7Q5L/ref=sr_1_13?keywords=chair&qid=1689531604&sr=8-13
2023-07-16,B000KHZ044,"Intex Floating Recliner Inflatable Lounge, 71in X 53in, Multicolor",27.89,4.4,"16,970",True,8K,,https://m.media-amazon.com/images/I/61jV-F6gFcL._AC_UL320_.jpg,https://www.amazon.com/Intex-Floating-Recliner-Inflatable-Lounge/dp/B000KHZ044/ref=sr_1_14?keywords=chair&qid=1689531604&sr=8-14
2023-07-16,B08KSCDM47,Neo Chair Office Computer Desk Chair Gaming-Ergonomic Mid Back Cushion Lumbar Support with Wheels Comfortable Blue Mesh Racing Seat Adjustable Swivel Rolling Home Executive (Black),44.98,4.0,"17,106",True,9K,,https://m.media-amazon.com/images/I/71EgGUGVrrL._AC_UL320_.jpg,https://www.amazon.com/CHAIR-Office-Chair-Computer-Gaming/dp/B08KSCDM47/ref=sr_1_15?keywords=chair&qid=1689531604&sr=8-15
2023-07-16,B074YRN643,Amazon Basics Portable Folding Camping Chair with Carrying Bag,26.87,4.6,"13,503",True,10K,,https://m.media-amazon.com/images/I/91Pn9PITMzL._AC_UL320_.jpg,https://www.amazon.com/Amazon-Basics-Folding-Mesh-Back-Carrying/dp/B074YRN643/ref=sr_1_16?keywords=chair&qid=1689531604&sr=8-16
2023-07-16,B00PTL13LA,"Graco Slim Snacker High Chair, Ultra Compact High Chair, Whisk",79.97,4.8,"27,090",True,9K,,https://m.media-amazon.com/images/I/711jARycOrS._AC_UL320_.jpg,https://www.amazon.com/Graco-Snacker-Chair-Ultra-Compact/dp/B00PTL13LA/ref=sr_1_17?keywords=chair&qid=1689531604&sr=8-17
2023-07-16,B0C7G1G5YB,"Office Chair Mid Back Desk Chair Ergonomic Mesh Computer Gaming Chair with Larger Seat, Executive Height Adjustable Swivel Task Chair with Lumbar Support Armrest for Women Adults",45.15,4.4,"1,124",True,6K,,https://m.media-amazon.com/images/I/71R-KGtX6JL._AC_UL320_.jpg,https://www.amazon.com/Ergonomic-Computer-Executive-Adjustable-Support/dp/B0C7G1G5YB/ref=sr_1_18?keywords=chair&qid=1689531604&sr=8-18
2023-07-16,B00339C3P0,"Coleman Portable Camping Chair with 4-Can Cooler, Fully Cushioned Seat and Back with Side Pocket and Cup Holder, Carry Bag Included, Collapsible Chair for Camping, Tailgates, Beach, and Sports",39.97,4.7,"56,453",True,2K,,https://m.media-amazon.com/images/I/71lWvKI5TPL._AC_UL320_.jpg,https://www.amazon.com/Coleman-Portable-Camping-Chair-Cooler/dp/B00339C3P0/ref=sr_1_19?keywords=chair&qid=1689531604&sr=8-19
2023-07-16,B019C2COVO,"SwimWays Noodle Sling- Floating Pool Chair for Adults, Color May Vary.",8.89,3.4,"10,029",True,6K,,https://m.media-amazon.com/images/I/810eivysnbL._AC_UL320_.jpg,https://www.amazon.com/SwimWays-Noodle-Chair-Colors-Vary/dp/B019C2COVO/ref=sr_1_20?keywords=chair&qid=1689531604&sr=8-20
2023-07-16,B07KJYY9BD,"BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)",54.99,4.4,"19,410",False,4K,,https://m.media-amazon.com/images/I/61t4mpabO+L._AC_UL320_.jpg,https://www.amazon.com/BestOffice-Gaming-Executive-Headrest-Computer/dp/B07KJYY9BD/ref=sr_1_21?keywords=chair&qid=1689531604&sr=8-21
2023-07-16,B01MRZ02TL,Homall Gaming Chair Office Chair High Back Computer Chair Leather Desk Chair Racing Executive Ergonomic Adjustable Swivel Task Chair with Headrest and Lumbar Support (White),99.99,4.4,"71,929",False,7K,,https://m.media-amazon.com/images/I/61HEqHMkRhL._AC_UL320_.jpg,https://www.amazon.com/Homall-Computer-Executive-Ergonomic-Adjustable/dp/B01MRZ02TL/ref=sr_1_22?keywords=chair&qid=1689531604&sr=8-22
2023-07-16,B081H3Y5NW,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest, 26""D x 23.75""W x 42""H, Black",83.09,4.2,"30,874",True,9K,,https://m.media-amazon.com/images/I/71i08qnZeDL._AC_UL320_.jpg,https://www.amazon.com/AmazonBasics-Puresoft-PU-Padded-Mid-Back-Computer/dp/B081H3Y5NW/ref=sr_1_23?keywords=chair&qid=1689531604&sr=8-23
2023-07-16,B00FS3VJAO,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",38.88,4.3,"51,602",False,6K,,https://m.media-amazon.com/images/I/716tq9Y8WOL._AC_UL320_.jpg,https://www.amazon.com/Black-Office-Chair-Computer-Adjustable/dp/B00FS3VJAO/ref=sr_1_24?keywords=chair&qid=1689531604&sr=8-24
