Search Date,ASIN,Name,Price,Rating,Review Amount,Amazon Prime,Sale,Brand,Image,URL
2023-07-20,B0BBPRZHRX,"GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)",99.99,4.4,"7,232",False,5K,,https://m.media-amazon.com/images/I/61Y-czu8iaL._AC_UL320_.jpg,https://www.amazon.com/GTPLAYER-Computer-Footrest-Adjustable-360%C2%B0-Swivel/dp/B0BBPRZHRX/ref=sr_1_31?keywords=chair&qid=1689874495&sr=8-31
2023-07-20,B07C3ZRYVV,GCI Outdoor Waterside SunShade Backpack Beach Chair,60.79,4.5,"1,239",True,4K,,https://m.media-amazon.com/images/I/81eTx5ngPFL._AC_UL320_.jpg,https://www.amazon.com/GCI-Outdoor-Waterside-Reclining-Portable/dp/B07C3ZRYVV/ref=sr_1_32?keywords=chair&qid=1689874495&sr=8-32
2023-07-20,B00BPWDMOS,"Coleman Broadband Mesh Quad Camping Chair, Cooling Mesh Back with Cup Holder, Adjustable Arm Heights, & Carry Bag; Supports up to 250lbs",19.97,4.5,"7,891",False,10K,,https://m.media-amazon.com/images/I/71zoT4xLAEL._AC_UL320_.jpg,https://www.amazon.com/Coleman-Broadband-Mesh-Camping-Chair/dp/B00BPWDMOS/ref=sr_1_33?keywords=chair&qid=1689874495&sr=8-33
2023-07-20,B07V6MR1R5,CLIQ Portable Chair Camping Chairs - A Small Collapsible Portable Chair That Goes Every Where Outdoors. Compact Folding Chair for Adults - Camping Chair Supports 300 Lbs,99.99,4.3,"5,349",True,1K,,https://m.media-amazon.com/images/I/71XRcxQcpIL._AC_UL320_.jpg,https://www.amazon.com/sporting-goods-CLIQ-camping-chairs/dp/B07V6MR1R5/ref=sr_1_34?keywords=chair&qid=1689874495&sr=8-34
2023-07-20,B00IOGIM9S,"Inglesina Fast Table Chair - Award-Winning Baby High Chair for Eating & Dining - Compact, Portable & Foldable - Leaves No Scratches - for Babies 6-36 Months & 1-3 Year Old Toddler - Black",79.00,4.8,"6,894",True,4K,,https://m.media-amazon.com/images/I/71OZVL5FALL._AC_UL320_.jpg,https://www.amazon.com/Inglesina-Fast-Table-Chair-Award-Winning/dp/B00IOGIM9S/ref=sr_1_35?keywords=chair&qid=1689874495&sr=8-35
2023-07-20,B08KRCFPBB,"Baby Shark Chair Desk with Storage Bin - Ideal for Arts & Crafts, Snack Time, Homeschooling, Homework & More by Delta Children",29.97,4.7,"6,554",True,4K,,https://m.media-amazon.com/images/I/71rHoiiI1aL._AC_UL320_.jpg,https://www.amazon.com/Baby-Shark-Chair-Desk-Storage/dp/B08KRCFPBB/ref=sr_1_36?keywords=chair&qid=1689874495&sr=8-36
2023-07-20,B0B3J34F2Y,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair Modern Height Adjustable Swivel Chair with Lumbar Support/Flip-up Arms, Grey",53.86,4.5,"1,047",True,2K,,https://m.media-amazon.com/images/I/61d8tebWs8L._AC_UL320_.jpg,https://www.amazon.com/SMUG-Ergonomic-Computer-Adjustable-Support/dp/B0B3J34F2Y/ref=sr_1_37?keywords=chair&qid=1689874495&sr=8-37
2023-07-20,B0C1P9S7JB,"Office Chair, Desk Chair, Ergonomic Home Office Desk Chairs, Computer Chair with Flip up Armrests, Mesh Desk Chairs with Wheels, Office Desk Chair, Mid-Back Task Chair with Ergonomic Lumbar Support",59.99,4.5,213,True,2K,,https://m.media-amazon.com/images/I/71bG1vfdV-L._AC_UL320_.jpg,https://www.amazon.com/Ergonomic-Computer-Armrests-Mid-Back-Support/dp/B0C1P9S7JB/ref=sr_1_38?keywords=chair&qid=1689874495&sr=8-38
2023-07-20,B08KRCTMK4,"Delta Children Serta Perfect Extra Wide Convertible Sofa to Lounger, Comfy 2-in-1 Flip Open Couch/Sleeper for Kids, Grey",47.99,4.3,"8,327",True,4K,,https://m.media-amazon.com/images/I/81WWj-oL8vL._AC_UL320_.jpg,https://www.amazon.com/Serta-Perfect-Sleeper-Convertible-Lounger/dp/B08KRCTMK4/ref=sr_1_39?keywords=chair&qid=1689874495&sr=8-39
2023-07-20,B07Y8BXBX8,"GABRYLLY Ergonomic Mesh Office Chair, High Back Desk Chair - Adjustable Headrest with Flip-Up Arms, Tilt Function, Lumbar Support and PU Wheels, Swivel Computer Task Chair",215.60,4.5,"11,215",True,1K,,https://m.media-amazon.com/images/I/91Fa+MzIKEL._AC_UL320_.jpg,https://www.amazon.com/Gabrylly-Ergonomic-Mesh-Office-Chair/dp/B07Y8BXBX8/ref=sr_1_40?keywords=chair&qid=1689874495&sr=8-40
2023-07-20,B0BKG963VQ,NEO CHAIR Office Chair Computer Desk Chair Gaming - Ergonomic High Back Cushion Lumbar Support with Wheels Comfortable Black Leather Racing Seat Adjustable Swivel Rolling Home Executive,89.94,4.2,"9,296",True,3K,,https://m.media-amazon.com/images/I/61Tfivd45SL._AC_UL320_.jpg,https://www.amazon.com/neo-chair-Office-Computer-Gaming/dp/B0BKG963VQ/ref=sr_1_41?keywords=chair&qid=1689874495&sr=8-41
2023-07-20,B08531LKDG,"Health Line Massage Products Shower Stool 350lbs Bath Seat Chair, Tool-Free Assembly Height Adjustable Bath Bench with Padded Seat for Seniors, Elderly, Disabled, Handicap and Injured",39.99,4.5,"7,007",True,3K,,https://m.media-amazon.com/images/I/512dE4yuoiL._AC_UL320_.jpg,https://www.amazon.com/Upgraded-Tool-Free-Assembly-Adjustable-Disabled/dp/B08531LKDG/ref=sr_1_42?keywords=chair&qid=1689874495&sr=8-42
2023-07-20,B003399128,Coleman Portable Stadium Seat Cushion | Lightweight Padded Seat for Sporting Events and Outdoor Concerts | Bleacher Cushion with Backrest,16.99,4.0,"12,369",True,3K,,https://m.media-amazon.com/images/I/91oJ1FfjjzL._AC_UL320_.jpg,https://www.amazon.com/Coleman-2000020281-Stadium-Seat/dp/B003399128/ref=sr_1_43?keywords=chair&qid=1689874495&sr=8-43
2023-07-20,B004C0QDLO,"Kijaro Camping Chair, Dual Lock Feature, Arm Rest|Cushion Availability|Fol, Metal, Maldives Blue",36.49,4.7,"16,481",False,4K,,https://m.media-amazon.com/images/I/81lhDQbQdaL._AC_UL320_.jpg,https://www.amazon.com/Kijaro-Portable-Camping-Sports-Chair/dp/B004C0QDLO/ref=sr_1_44?keywords=chair&qid=1689874495&sr=8-44
2023-07-20,B07L6KM74G,"Amazon Basics Solid Wood Saddle-Seat Kitchen Counter-Height Stool, 24-Inch Height, Black - Set of 2",71.24,4.5,"25,489",True,6K,,https://m.media-amazon.com/images/I/711aqsVN1CL._AC_UL320_.jpg,https://www.amazon.com/AmazonBasics-Classic-Saddle-Seat-Kitchen-Counter/dp/B07L6KM74G/ref=sr_1_45?keywords=chair&qid=1689874495&sr=8-45
2023-07-20,B0B8MNF259,"PUKAMI Armless Office Desk Chair No Wheels,Fabric Padded Modern Swivel,Height Adjustable Wide Seat Computer Task Vanity Chair for Home Office,Mid Back Accent Chair (Beige)",89.99,4.5,806,False,3K,,https://m.media-amazon.com/images/I/812NGsUDw-L._AC_UL320_.jpg,https://www.amazon.com/PUKAMI-Armless-Office-Adjustable-Computer/dp/B0B8MNF259/ref=sr_1_46?keywords=chair&qid=1689874495&sr=8-46
2023-07-20,B07MGPLQF1,"Nice C Adults Low Beach Chair, Sling, Folding, Portable, Concert, Kids, Boat, Sand Chair with Cup Holder & Carry Bag (2 Pack of Blue)",75.99,4.4,"4,842",True,1K,,https://m.media-amazon.com/images/I/81mFyfo9fWL._AC_UL320_.jpg,https://www.amazon.com/Nice-Camping-Ultralight-Backpacking-Festival/dp/B07MGPLQF1/ref=sr_1_47?keywords=chair&qid=1689874495&sr=8-47
2023-07-20,B0B41X9SMT,Primy Drafting Chair Tall Office Chair with Flip-up Armrests Executive Ergonomic Computer Standing Desk Chair with Lumbar Support and Adjustable Footrest Ring (Black),108.99,4.4,760,True,1K,,https://m.media-amazon.com/images/I/71jZSluAFXL._AC_UL320_.jpg,https://www.amazon.com/Primy-Drafting-Executive-Ergonomic-Adjustable/dp/B0B41X9SMT/ref=sr_1_48?keywords=chair&qid=1689874495&sr=8-48
2023-07-20,B0C5DLNZQ2,"Genuine Leather Recliner Chair Sofa with Double Layer Backrest, Power Recliner, Retro Rivet Design, High-Density Sponge Recliner Chair for Living Room, Brown",699.99,4.0,1,False,50,,https://m.media-amazon.com/images/I/71FgFu9dXQL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAwODc2NDg1OTI0OTIzOjE2ODk4NzQ0OTU6c3BfYnRmOjMwMDAxNTkxNzQ5MDYwMjo6MDo6&url=%2FBMBMT-Genuine-Recliner-Backrest-High-Density%2Fdp%2FB0C5DLNZQ2%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dchair%26qid%3D1689874495%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
2023-07-20,B08D6HGS7T,"NOBLEWELL Office Chair Ergonomic Office Chair High Back Mesh Computer Chair with Lumbar Support Adjustable Armrest, Backrest and Headrest,Black",139.99,4.2,"4,756",True,1K,,https://m.media-amazon.com/images/I/71MzaFpWjwL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAwODc2NDg1OTI0OTIzOjE2ODk4NzQ0OTU6c3BfYnRmOjIwMDA3NTI5NTQ4NTY5ODo6MDo6&url=%2FNOBLEWELL-Ergonomic-Computer-Adjustable-Backrest%2Fdp%2FB08D6HGS7T%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dchair%26qid%3D1689874495%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
2023-07-20,B0C6LWSFXD,"Dripex Ergonomic Office Chair, High Back Desk Chair, Computer Mesh Chair with Lumbar Support, Adjustable Headrest & 2D Armrest, 90°-135°Tilt Function, 360° Swivel Home Office Task Chair, Black",119.99,4.5,45,False,1K,,https://m.media-amazon.com/images/I/71MwMl6tEwL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAwODc2NDg1OTI0OTIzOjE2ODk4NzQ0OTU6c3BfYnRmOjIwMDE3NDg5MzAxMTU5ODo6MDo6&url=%2FDripex-Ergonomic-High-Back-Adjustable-Reclining%2Fdp%2FB0C6LWSFXD%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dchair%26qid%3D1689874495%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
