Search Date,ASIN,Name,Price,Rating,Amazon Prime,Sale,Brand,Image,URL
2023-07-15,B08P78RGJF,"OFIKA Home Office Chair, 400LBS Big and Tall Heavy Duty Design, Ergonomic High Back Cushion Lumbar Back Support, Computer Desk, Adjustable Executive Leather Chair with Armrest",109.94,3.9,False,2K,,https://m.media-amazon.com/images/I/61MwsgtEgvS._AC_UL400_.jpg,https://www.amazon.com/OFIKA-Ergonomic-Adjustable-Computer-Executive/dp/B08P78RGJF/ref=sr_1_38?keywords=chair&qid=1689472833&sr=8-38
2023-07-15,B07V8RVY86,"Dowinx Gaming Chair Fabric with Pocket Spring Cushion, Massage Game Chair Cloth with Headrest, Ergonomic Computer Chair with Footrest 290LBS, Black",189.99,4.2,True,1K,,https://m.media-amazon.com/images/I/614izepm28L._AC_UL400_.jpg,https://www.amazon.com/Dowinx-Headrest-Ergonomic-Computer-Footrest/dp/B07V8RVY86/ref=sr_1_39?keywords=chair&qid=1689472833&sr=8-39
2023-07-15,B07Y3VLW8K,"Melissa & Doug Cutie Pie Butterfly Camp Chair (Frustration-Free Packaging) , Pink",19.99,4.8,True,3K,,https://m.media-amazon.com/images/I/710NuDZK2FL._AC_UL400_.jpg,https://www.amazon.com/Melissa-Cutie-Butterfly-Frustration-Free-Packaging/dp/B07Y3VLW8K/ref=sr_1_40?keywords=chair&qid=1689472833&sr=8-40
2023-07-15,B0B129KTPF,"Desk Office Chair,Big High Back Chair,PU Leather Executive Chair,Managerial Executive Swivel Chair with Lumbar Support and Footrest Black Chairs",299.00,4.4,False,300,,https://m.media-amazon.com/images/I/612URVTDvsL._AC_UL400_.jpg,https://www.amazon.com/Efomao-Leather-Computer-Managerial-Executive/dp/B0B129KTPF/ref=sr_1_41?keywords=chair&qid=1689472833&sr=8-41
2023-07-15,B0B3DJC4KW,"YSSOA Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair, Without footrest,400lb Capacity, Pink",105.99,3.9,False,1K,,https://m.media-amazon.com/images/I/61UyNAS-8yL._AC_UL400_.jpg,https://www.amazon.com/YSSOA-Adjustable-Ergonomic-Chair-Pink/dp/B0B3DJC4KW/ref=sr_1_42?keywords=chair&qid=1689472833&sr=8-42
2023-07-15,B0BLNPCQFX,"Office Chair Cute Desk Chair, Modern Fabric Home Office Desk Chairs with Wheels, Mid-Back Armless Vanity Swivel Task Chair for Small Space, Living Room, Make-up, Studying",62.95,4.5,True,1K,,https://m.media-amazon.com/images/I/61u0jEO6MGL._AC_UL400_.jpg,https://www.amazon.com/Office-Mid-Back-Armless-Make-up-Studying/dp/B0BLNPCQFX/ref=sr_1_43?keywords=chair&qid=1689472833&sr=8-43
2023-07-15,B08LGWFNH9,"NEO CHAIR Office Chair Ergonomic Desk Chair Mesh Computer Chair Lumbar Support Modern Executive Adjustable Rolling Swivel Chair Comfortable Mid Black Task Home Office Chair, Black",44.91,4.1,True,1K,,https://m.media-amazon.com/images/I/71RFSo8el-L._AC_UL400_.jpg,https://www.amazon.com/Chair-Ergonomic-Executive-Adjustable-Comfortable/dp/B08LGWFNH9/ref=sr_1_44?keywords=chair&qid=1689472833&sr=8-44
2023-07-15,B0B9Y31ZTJ,"YSSOA Racing Video Backrest and Seat Height Recliner Gaming Office High Back Computer Ergonomic Adjustable Swivel Chair with Headrest and Lumbar Support, with footrest, 400lb Capacity,Black/White",105.00,3.5,False,1K,,https://m.media-amazon.com/images/I/61IdapgReUL._AC_UL400_.jpg,https://www.amazon.com/YSSOA-Backrest-Recliner-Ergonomic-Adjustable/dp/B0B9Y31ZTJ/ref=sr_1_45?keywords=chair&qid=1689472833&sr=8-45
2023-07-15,B07BDFW1Y7,SIHOO M57 Ergonomic Office Chair with 3 Way Armrests Lumbar Support and Adjustable Headrest High Back Tilt Function Black,219.99,4.4,True,900,,https://m.media-amazon.com/images/I/71eWgnaeYXL._AC_UL400_.jpg,https://www.amazon.com/Ergonomic-Computer-Breathable-Skin-Friendly-Adjustable/dp/B07BDFW1Y7/ref=sr_1_46?keywords=chair&qid=1689472833&sr=8-46
2023-07-15,B07SPYD4MW,"Amazon Basics Folding Plastic Chair with 350-Pound Capacity - 6-Pack, White",201.82,4.6,True,2K,,https://m.media-amazon.com/images/I/71DIQnPJKPL._AC_UL400_.jpg,https://www.amazon.com/AmazonBasics-Folding-Plastic-350-Pound-Capacity/dp/B07SPYD4MW/ref=sr_1_48?keywords=chair&qid=1689472833&sr=8-48
2023-07-15,B08D6HGS7T,"NOBLEWELL Office Chair Ergonomic Office Chair High Back Mesh Computer Chair with Lumbar Support Adjustable Armrest, Backrest and Headrest,Black",139.99,4.2,True,1K,,https://m.media-amazon.com/images/I/71MzaFpWjwL._AC_UL400_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjI0NzM2MDM0MzE0MDI2OjE2ODk0NzI4MzM6c3BfYnRmOjIwMDA3NTI5NTQ4NTY5ODo6MDo6&url=%2FNOBLEWELL-Ergonomic-Computer-Adjustable-Backrest%2Fdp%2FB08D6HGS7T%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dchair%26qid%3D1689472833%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
2023-07-15,B0C4PMZM93,"Ergonomic Mesh Office Chair High Back Office Desk Chair, Comfy Computer Chair with Lumbar Support and Armrests, Adjustable Height Swivel Task Chair, Executive Office Chair",89.98,4.3,True,50,,https://m.media-amazon.com/images/I/81SOXu5uJzL._AC_UL400_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjI0NzM2MDM0MzE0MDI2OjE2ODk0NzI4MzM6c3BfYnRmOjIwMDE3MTA0MzkzODI5ODo6MDo6&url=%2FFlysky-Ergonomic-Computer-Adjustable-Executive%2Fdp%2FB0C4PMZM93%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dchair%26qid%3D1689472833%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
